frame_id,track_id,pose_conf,pose_direction,flipped,body_length_px,head_x,head_y,dorsal_x,dorsal_y,tail_x,tail_y,belly_x,belly_y
16,1,0.6128901839256287,right_down,0,30.497398376464844,1015.7943725585938,633.8094482421875,1013.5172119140625,612.41162109375,1007.3628540039062,604.500732421875,1010.7130126953125,625.2904663085938
17,1,0.6128901839256287,right_down,0,32.858734130859375,1020.8507690429688,635.5294189453125,1016.162353515625,614.108154296875,1005.4843139648438,606.4851684570312,1011.6968383789062,627.275390625
18,1,0.6128901839256287,right_down,0,35.238277435302734,1024.3902587890625,636.7333984375,1018.0140380859375,615.2957153320312,1004.1693115234375,607.874267578125,1012.3855590820312,628.6648559570312
19,1,0.6128901839256287,right_down,0,37.19199752807617,1026.867919921875,637.576171875,1019.3101806640625,616.1270141601562,1003.2488403320312,608.8466796875,1012.8676147460938,629.637451171875
20,1,0.7681518197059631,right_down,0,40.17694854736328,1030.8359375,638.6134033203125,1021.4852294921875,616.6625366210938,1003.1593017578125,609.4896850585938,1014.511962890625,630.7648315429688
21,1,0.7681518197059631,right_down,0,42.37472915649414,1033.613525390625,639.3394775390625,1023.0078125,617.037353515625,1003.0966796875,609.9398193359375,1015.6630859375,631.553955078125
22,1,0.7681518197059631,right_down,0,43.95810317993164,1035.557861328125,639.8477783203125,1024.0736083984375,617.2998046875,1003.0528564453125,610.2548828125,1016.4688720703125,632.1063842773438
23,1,0.7681518197059631,right_down,0,45.086002349853516,1036.9188232421875,640.2035522460938,1024.819580078125,617.4835205078125,1003.0220947265625,610.4754638671875,1017.0328369140625,632.4930419921875
24,1,0.7681518197059631,right_down,0,45.884342193603516,1037.8714599609375,640.45263671875,1025.341796875,617.612060546875,1003.0006103515625,610.6298828125,1017.4276123046875,632.7637329101562
25,1,0.7491563558578491,right_down,0,25.468076705932617,1006.7754516601562,634.122314453125,1005.0364990234375,614.4714965820312,997.9614868164062,610.22802734375,999.409423828125,629.8994140625
26,1,0.7491563558578491,left_down,0,21.87889289855957,985.0082397460938,629.6910400390625,990.82275390625,612.2730712890625,994.4341430664062,609.9467163085938,986.796630859375,627.8944091796875
27,1,0.7491563558578491,left_down,0,27.85907554626465,969.7711791992188,626.5891723632812,980.8731689453125,610.7342529296875,991.9649658203125,609.7498168945312,977.9676513671875,626.4909057617188
28,1,0.7491563558578491,left_down,0,34.47277069091797,959.1052856445312,624.4178466796875,973.908447265625,609.6570434570312,990.236572265625,609.6119384765625,971.787353515625,625.5084838867188
29,1,0.7491563558578491,left_down,0,39.71042251586914,951.63916015625,622.89794921875,969.033203125,608.9029541015625,989.0266723632812,609.5154418945312,967.461181640625,624.8207397460938
30,1,0.7502917647361755,left_down,0,41.323768615722656,947.340576171875,624.041748046875,965.056884765625,609.4024658203125,985.5440673828125,608.2890625,964.69580078125,624.26611328125
31,1,0.7502917647361755,left_down,0,42.50464630126953,944.33154296875,624.8424072265625,962.2734375,609.7521362304688,983.106201171875,607.4306030273438,962.760009765625,623.8778686523438
32,1,0.7502917647361755,left_down,0,43.35437774658203,942.2252197265625,625.4028930664062,960.324951171875,609.9968872070312,981.399658203125,606.8296508789062,961.405029296875,623.6060791015625
33,1,0.7502917647361755,left_down,0,43.95988464355469,940.750732421875,625.7952270507812,958.9610595703125,610.168212890625,980.205078125,606.4089965820312,960.45654296875,623.4158935546875
